iter	Passed	Remaining
0	113	113831
1	118	58957
2	124	41439
3	129	32230
4	134	26834
5	139	23033
6	143	20319
7	148	18376
8	152	16771
9	158	15655
10	162	14617
11	166	13721
12	170	12970
13	175	12356
14	177	11673
15	179	11051
16	181	10485
17	182	9980
18	184	9539
19	187	9163
20	189	8827
21	191	8506
22	193	8203
23	194	7923
24	196	7665
25	198	7433
26	201	7266
27	204	7085
28	206	6902
29	207	6721
30	209	6548
31	210	6382
32	212	6230
33	219	6224
34	220	6086
35	222	5952
36	223	5826
37	225	5708
38	228	5634
39	230	5530
40	232	5428
41	233	5330
42	235	5234
43	236	5143
44	238	5061
45	240	4985
46	243	4933
47	245	4860
48	246	4791
49	248	4727
50	250	4658
51	252	4599
52	253	4533
53	256	4485
54	257	4431
55	259	4377
56	261	4326
57	263	4274
58	264	4222
59	266	4174
60	268	4126
61	269	4084
62	271	4042
63	273	3999
64	275	3956
65	276	3918
66	278	3877
67	279	3830
68	280	3789
69	282	3759
70	284	3727
71	286	3694
72	288	3661
73	289	3627
74	291	3593
75	292	3560
76	294	3530
77	295	3498
78	298	3484
79	300	3457
80	302	3427
81	303	3398
82	305	3370
83	306	3344
84	307	3311
85	309	3285
86	310	3257
87	312	3233
88	313	3212
89	315	3188
90	316	3165
91	318	3142
92	319	3119
93	321	3096
94	322	3075
95	324	3053
96	325	3033
97	327	3013
98	329	2994
99	330	2976
100	332	2957
101	333	2933
102	334	2915
103	336	2900
104	338	2881
105	339	2863
106	342	2859
107	344	2844
108	346	2829
109	347	2813
110	349	2798
111	351	2784
112	352	2769
113	354	2755
114	357	2754
115	359	2739
116	361	2728
117	363	2715
118	364	2699
119	366	2685
120	367	2671
121	369	2658
122	371	2646
123	373	2639
124	375	2625
125	376	2612
126	378	2598
127	379	2582
128	380	2569
129	382	2556
130	383	2544
131	386	2542
132	388	2534
133	390	2522
134	391	2510
135	393	2498
136	394	2486
137	395	2472
138	397	2461
139	398	2450
140	401	2446
141	403	2435
142	404	2425
143	406	2414
144	407	2404
145	409	2394
146	410	2383
147	412	2372
148	413	2362
149	416	2359
150	418	2351
151	419	2340
152	421	2331
153	422	2321
154	424	2311
155	425	2301
156	426	2292
157	428	2283
158	430	2276
159	432	2269
160	434	2261
161	435	2252
162	437	2244
163	438	2236
164	440	2228
165	442	2220
166	444	2216
167	446	2209
168	447	2202
169	449	2194
170	450	2186
171	452	2177
172	453	2169
173	455	2162
174	457	2154
175	459	2148
176	461	2144
177	462	2137
178	464	2130
179	465	2122
180	466	2111
181	468	2104
182	469	2097
183	471	2090
184	473	2087
185	475	2082
186	477	2076
187	479	2069
188	480	2062
189	482	2056
190	483	2049
191	485	2042
192	487	2037
193	489	2032
194	491	2027
195	492	2021
196	494	2015
197	495	2008
198	497	2000
199	498	1994
200	500	1988
201	504	1991
202	506	1986
203	507	1981
204	509	1975
205	511	1970
206	512	1964
207	514	1958
208	515	1951
209	517	1946
210	519	1943
211	521	1937
212	522	1931
213	524	1925
214	525	1919
215	527	1914
216	529	1909
217	530	1903
218	532	1900
219	534	1895
220	536	1889
221	537	1883
222	538	1877
223	540	1873
224	542	1868
225	543	1862
226	545	1856
227	546	1851
228	548	1845
229	549	1840
230	551	1834
231	552	1828
232	553	1823
233	555	1817
234	557	1813
235	559	1810
236	561	1809
237	563	1804
238	565	1799
239	566	1794
240	568	1791
241	570	1786
242	572	1782
243	576	1785
244	578	1782
245	579	1777
246	581	1773
247	583	1768
248	584	1762
249	585	1757
250	587	1752
251	588	1748
252	590	1744
253	592	1740
254	594	1735
255	595	1730
256	597	1726
257	598	1721
258	600	1717
259	602	1713
260	603	1709
261	605	1705
262	607	1702
263	609	1698
264	610	1693
265	612	1689
266	613	1685
267	615	1681
268	617	1678
269	619	1674
270	620	1670
271	622	1665
272	624	1662
273	625	1657
274	627	1653
275	628	1648
276	629	1643
277	631	1639
278	632	1634
279	634	1631
280	636	1627
281	637	1623
282	639	1619
283	640	1615
284	642	1611
285	643	1607
286	645	1603
287	647	1599
288	648	1595
289	650	1592
290	652	1588
291	653	1584
292	655	1580
293	656	1576
294	658	1572
295	659	1568
296	661	1564
297	662	1561
298	664	1558
299	666	1554
300	667	1550
301	669	1546
302	670	1543
303	672	1539
304	673	1535
305	675	1531
306	676	1527
307	680	1528
308	681	1525
309	683	1521
310	685	1517
311	686	1513
312	687	1509
313	689	1507
314	691	1503
315	694	1503
316	696	1499
317	697	1495
318	699	1492
319	700	1488
320	701	1484
321	703	1480
322	704	1476
323	706	1473
324	709	1473
325	711	1470
326	712	1466
327	713	1462
328	715	1458
329	716	1454
330	718	1451
331	719	1447
332	720	1444
333	722	1441
334	725	1439
335	726	1435
336	727	1432
337	729	1428
338	730	1425
339	732	1422
340	734	1419
341	736	1416
342	740	1417
343	742	1416
344	745	1414
345	746	1411
346	748	1408
347	749	1404
348	752	1404
349	754	1401
350	756	1397
351	757	1394
352	759	1391
353	760	1388
354	762	1385
355	764	1382
356	765	1379
357	767	1377
358	769	1374
359	771	1371
360	772	1367
361	774	1364
362	775	1361
363	777	1357
364	778	1354
365	781	1353
366	783	1350
367	784	1347
368	786	1344
369	787	1341
370	789	1337
371	790	1334
372	792	1331
373	793	1328
374	794	1324
375	796	1322
376	799	1320
377	800	1317
378	802	1314
379	803	1311
380	805	1308
381	806	1304
382	808	1301
383	809	1298
384	811	1296
385	813	1294
386	815	1291
387	816	1288
388	818	1285
389	819	1282
390	822	1280
391	834	1293
392	836	1291
393	838	1289
394	840	1287
395	842	1284
396	844	1282
397	846	1280
398	848	1278
399	850	1275
400	852	1272
401	854	1270
402	856	1268
403	858	1266
404	860	1264
405	862	1261
406	864	1259
407	865	1256
408	867	1253
409	868	1250
410	870	1248
411	872	1245
412	874	1242
413	876	1240
414	878	1237
415	879	1235
416	881	1232
417	883	1229
418	885	1227
419	886	1224
420	888	1222
421	890	1219
422	892	1217
423	894	1214
424	895	1211
425	897	1209
426	899	1206
427	901	1204
428	903	1202
429	904	1199
430	906	1196
431	908	1194
432	910	1192
433	912	1189
434	914	1187
435	916	1185
436	919	1184
437	920	1181
438	922	1179
439	924	1176
440	926	1174
441	928	1172
442	930	1169
443	932	1167
444	934	1165
445	936	1163
446	938	1160
447	940	1158
448	941	1155
449	943	1153
450	946	1151
451	947	1149
452	949	1147
453	951	1144
454	953	1141
455	954	1138
456	956	1136
457	958	1133
458	961	1133
459	963	1131
460	965	1129
461	967	1126
462	969	1124
463	971	1122
464	973	1120
465	975	1118
466	978	1116
467	980	1114
468	982	1112
469	983	1109
470	985	1106
471	986	1103
472	988	1101
473	990	1098
474	992	1096
475	993	1093
476	995	1091
477	996	1088
478	998	1085
479	1000	1083
480	1001	1080
481	1003	1078
482	1005	1076
483	1007	1073
484	1008	1071
485	1010	1069
486	1012	1066
487	1013	1063
488	1015	1061
489	1017	1058
490	1018	1056
491	1020	1053
492	1022	1051
493	1023	1048
494	1025	1046
495	1026	1043
496	1028	1040
497	1029	1038
498	1031	1035
499	1033	1033
500	1035	1031
501	1036	1028
502	1038	1025
503	1039	1023
504	1040	1020
505	1042	1017
506	1045	1017
507	1047	1014
508	1049	1012
509	1050	1009
510	1052	1007
511	1053	1004
512	1055	1002
513	1057	1000
514	1059	998
515	1061	995
516	1062	992
517	1064	990
518	1065	987
519	1067	984
520	1068	982
521	1069	979
522	1071	977
523	1072	974
524	1074	972
525	1076	970
526	1078	967
527	1079	965
528	1081	962
529	1082	959
530	1083	957
531	1085	954
532	1087	952
533	1089	950
534	1091	948
535	1092	946
536	1094	943
537	1096	941
538	1097	939
539	1099	936
540	1100	933
541	1103	932
542	1106	930
543	1107	928
544	1109	926
545	1110	923
546	1112	920
547	1113	918
548	1115	916
549	1118	914
550	1120	913
551	1122	910
552	1123	908
553	1125	905
554	1126	903
555	1128	901
556	1129	898
557	1131	896
558	1132	893
559	1137	893
560	1140	892
561	1156	900
562	1161	901
563	1165	900
564	1169	900
565	1172	899
566	1179	900
567	1183	900
568	1187	899
569	1192	899
570	1197	899
571	1201	898
572	1207	899
573	1211	899
574	1216	898
575	1221	899
576	1226	899
577	1231	899
578	1236	898
579	1240	898
580	1245	898
581	1248	896
582	1251	895
583	1253	892
584	1255	890
585	1256	887
586	1258	885
587	1259	882
588	1261	880
589	1263	878
